col	row	z
26	28	0.132413793
27	28	0.096206897
28	28	0.062068966
29	28	0.03
0	29	1.8
1	29	1.71
2	29	1.622068966
3	29	1.536206897
4	29	1.452413793
5	29	1.370689655
6	29	1.291034483
7	29	1.213448276
8	29	1.137931034
9	29	1.064482759
10	29	0.993103448
11	29	0.923793103
12	29	0.856551724
13	29	0.79137931
14	29	0.728275862
15	29	0.667241379
16	29	0.608275862
17	29	0.55137931
18	29	0.496551724
19	29	0.443793103
20	29	0.393103448
21	29	0.344482759
22	29	0.297931034
23	29	0.253448276
24	29	0.211034483
25	29	0.170689655
26	29	0.132413793
27	29	0.096206897
28	29	0.062068966
29	29	0.03
0	30	1.8
1	30	1.71
2	30	1.622068966
3	30	1.536206897
4	30	1.452413793
5	30	1.370689655
6	30	1.291034483
7	30	1.213448276
8	30	1.137931034
9	30	1.064482759
10	30	0.993103448
11	30	0.923793103
12	30	0.856551724
13	30	0.79137931
14	30	0.728275862
15	30	0.667241379
16	30	0.608275862
17	30	0.55137931
18	30	0.496551724
19	30	0.443793103
20	30	0.393103448
21	30	0.344482759
22	30	0.297931034
23	30	0.253448276
24	30	0.211034483
25	30	0.170689655
26	30	0.132413793
27	30	0.096206897
28	30	0.062068966
29	30	0.03
0	31	1.8
1	31	1.71
2	31	1.622068966
3	31	1.536206897
4	31	1.452413793
5	31	1.370689655
6	31	1.291034483
7	31	1.213448276
8	31	1.137931034
9	31	1.064482759
10	31	0.993103448
11	31	0.923793103
12	31	0.856551724
13	31	0.79137931
14	31	0.728275862
15	31	0.667241379
16	31	0.608275862
17	31	0.55137931
18	31	0.496551724
19	31	0.443793103
20	31	0.393103448
21	31	0.344482759
22	31	0.297931034
23	31	0.253448276
24	31	0.211034483
25	31	0.170689655
26	31	0.132413793
27	31	0.096206897
28	31	0.062068966
29	31	0.03
0	32	1.8
1	32	1.71
2	32	1.622068966
3	32	1.536206897
4	32	1.452413793
5	32	1.370689655
6	32	1.291034483
7	32	1.213448276
8	32	1.137931034
9	32	1.064482759
10	32	0.993103448
11	32	0.923793103
12	32	0.856551724
13	32	0.79137931
14	32	0.728275862
15	32	0.667241379
16	32	0.608275862
17	32	0.55137931
18	32	0.496551724
19	32	0.443793103
20	32	0.393103448
21	32	0.344482759
22	32	0.297931034
23	32	0.253448276
24	32	0.211034483
25	32	0.170689655
26	32	0.132413793
27	32	0.096206897
28	32	0.062068966
29	32	0.03
0	33	1.8
1	33	1.71
2	33	1.622068966
3	33	1.536206897
4	33	1.452413793
5	33	1.370689655
6	33	1.291034483
7	33	1.213448276
8	33	1.137931034
9	33	1.064482759
10	33	0.993103448
11	33	0.923793103
12	33	0.856551724
13	33	0.79137931
14	33	0.728275862
15	33	0.667241379
16	33	0.608275862
17	33	0.55137931
18	33	0.496551724
19	33	0.443793103
20	33	0.393103448
21	33	0.344482759
22	33	0.297931034
23	33	0.253448276
24	33	0.211034483
25	33	0.170689655
26	33	0.132413793
27	33	0.096206897
28	33	0.062068966
29	33	0.03
0	34	1.8
1	34	1.71
2	34	1.622068966
3	34	1.536206897
4	34	1.452413793
5	34	1.370689655
6	34	1.291034483
7	34	1.213448276
8	34	1.137931034
9	34	1.064482759
10	34	0.993103448
11	34	0.923793103
12	34	0.856551724
13	34	0.79137931
14	34	0.728275862
15	34	0.667241379
16	34	0.608275862
17	34	0.55137931
18	34	0.496551724
19	34	0.443793103
20	34	0.393103448
